NameWithOwner,Stars,Description
justauth/JustAuth,14383,"🏆Gitee 最有价值开源项目 🚀:100: 小而全而美的第三方登录开源组件。目前已支持Github、Gitee、微博、钉钉、百度、Coding、腾讯云开发者平台、OSChina、支付宝、QQ、微信、淘宝、Google、Facebook、抖音、领英、小米、微软、今日头条、Teambition、StackOverflow、Pinterest、人人、华为、企业微信、酷家乐、Gitlab、美团、饿了么、推特、飞书、京东、阿里云、喜马拉雅、Amazon、Slack和 Line 等第三方平台的授权登录。 Login, so easy!"
hdodenhof/CircleImageView,14372,A circular ImageView for Android
williamfiset/Algorithms,14320,A collection of algorithms and data structures
android-hacker/VirtualXposed,14134,"A simple app to use Xposed without root, unlock the bootloader or modify system image, etc."
alibaba/ARouter,14094,💪 A framework for assisting in the renovation of Android componentization (帮助 Android App 进行组件化改造的路由框架)
baomidou/mybatis-plus,14030,An powerful enhanced toolkit of MyBatis for simplify development
Tencent/QMUI_Android,13946,提高 Android UI 开发效率的 UI 库
antlr/antlr4,13853,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files."
mockito/mockito,13686,Most popular Mocking framework for unit tests written in Java
lgvalle/Material-Animations,13559,Android Transition animations explanation with examples.
orhanobut/logger,13527,"✔️ Simple, pretty and powerful logger for android"
Konloch/bytecode-viewer,13522,"A Java 8+ Jar & Android APK Reverse Engineering Suite (Decompiler, Editor, Debugger & More)"
eclipse-vertx/vert.x,13390,Vert.x is a tool-kit for building reactive applications on the JVM
arduino/Arduino,13389,Arduino IDE 1.x
heibaiying/BigData-Notes,13356,大数据入门指南  :star:
elastic/logstash,13282,"Logstash - transport and process your logs, events, or other data"
apache/hadoop,13262,Apache Hadoop
Bigkoo/Android-PickerView,13249,"This is a picker view for android , support linkage effect, timepicker and optionspicker.（时间选择器、省市区三级联动）"
Curzibn/Luban,13174,Luban(鲁班)—Image compression with efficiency very close to WeChat Moments/可能是最接近微信朋友圈的图片压缩算法
zhisheng17/flink-learning,13158,flink learning blog. http://www.54tianzhisheng.cn/  含 Flink 入门、概念、原理、实战、性能调优、源码解析等内容。涉及 Flink Connector、Metrics、Library、DataStream API、Table API & SQL 等内容的学习案例，还有 Flink 落地应用的大型项目案例（PVUV、日志存储、百亿数据实时去重、监控告警）分享。欢迎大家支持我的专栏《大数据实时计算引擎 Flink 实战与性能优化》
ben-manes/caffeine,13136,A high performance caching library for Java
